ID,Name,Code,OEM Brand,OEM Group,POM,To (Country),To (Region),Sales Rep,Product,25Y Sales (￦0.1b),Source Lat,Source Lng,Target Lat,Target Lng,Address
119,TXX gigafactory texas,287386,,,Yeongsan Plant,US,NA,우성령/조소영,,46.44554,35.447662,128.52357,29.963992,262.213091,"Dr (Kyle 2 - MY) 201 Logistics Dr  Kyle, TX 78640 USA, NA-US-TX-Kyle-201 Logistics"
120,Ford Chicago,203929,,,Yeongsan Plant,US,NA,안근수,,18.187008,35.447662,128.52357,35.422912,276.527957,"CENTER DRIVE SUITE 1100, 330 TOWN"
121,Ford Chicago (SHO),203930,,,Yeongsan Plant,US,NA,안근수,,0,35.447662,128.52357,35.422912,276.527957,"CENTER DRIVE SUITE 1100, 330 TOWN"
122,GM FLINT,200540,,,Yeongsan Plant,US,NA,이상영,,30.385858,35.447662,128.52357,42.961353,276.237748,"4405 Continental Dr, Flint, MI"
123,Stellantis Espana S.L.(PSA),200548,,,Yeongsan Plant,ES,EU,최유정,,15.22464467,35.447662,128.52357,46.265134,11.087048,"PCAE, 3-5 CALLE CITROEN, VIGO"
124,PSA MOROCCO,200549,,,Yeongsan Plant,MA,EU,최유정,,5.86300404,35.447662,128.52357,34.29893358,-6.393430871,"Atlantic Free Zone : RN4 • Route Sidi Yahya, Commune Amer Saflia, Kénitra, Morocco"
125,Ford Louisville,203931,,,Yeongsan Plant,US,NA,안근수,,35.539862,35.447662,128.52357,35.422912,276.527957,"CENTER DRIVE SUITE 1100, 330 TOWN"
126,GM BRAZIL 4E,200095,,,Yeongsan Plant,BR,SA,이상영,,1.0983,35.447662,128.52357,-23.6162053,313.4419052,"Av. Goiás, 1805 - Santa Paula, São Caetano do Sul - SP, 09521-300, Brazil"
127,VOLVO HUB (KATOEN NATIE),200157,,,Yeongsan Plant,BE,EU,최유정,,11.34472504,35.447662,128.52357,51.11653,3.792203,"Eddastraat 34, Gent"
128,Ford Cuatilan,203932,,,Yeongsan Plant,US,NA,안근수,,11.234773,35.447662,128.52357,35.422912,276.527957,"CENTER DRIVE SUITE 1100, 330 TOWN"
129,Ford Hermosillo,203933,,,Yeongsan Plant,US,NA,안근수,,46.5171896,35.447662,128.52357,35.422912,276.527957,"CENTER DRIVE SUITE 1100, 330 TOWN"
130,Ford Michigan,200080,,,Yeongsan Plant,US,NA,안근수,,33.3017484,35.447662,128.52357,42.320414,276.781106,"330 Town Center Drive Suite 1100, Dearborn, MI"
131,FTM(FORD THAILAND),200105,,,Yeongsan Plant,TH,AS,이근수,,15.66718142,35.447662,128.52357,13.07490089,101.205014,"Amphur Pluakdaeng, Hemaraj Eastern Seaboard Industr"
132,JMC (Jiangling Motors Corporation),200107,,,Yeongsan Plant,CN,AS,이근수,,3.130884,35.447662,128.52357,28.62634,115.90661,"No. 509 Yingbin North Avenue, Qingyunpu District, Nanchang City, Jiangxi Province"
133,GM ARLINGTON,200595,,,Yeongsan Plant,US,NA,이상영,,31.34348,35.447662,128.52357,32.735623,262.892892,"ARLINGTON, TX 760, 3800 EAST AVE. E,"
134,AAT(AUTO ALLIANCE THAILAND),200091,,,Yeongsan Plant,TH,AS,이근수,,14.0242236,35.447662,128.52357,27.24998,88.34932,"Industrial Estate (Rayong) No. 4, Pluakdaeng, Rayong"
